SBSCRN_ACTVTY_KEY,SBSCRN_ID,ACTVTY_TYPE_ID,USED_ACTVTY_TYPE_ID,ACTVTY_DT,ACTVTY_TS,HHLD_ID,PRTY_KEY,PRTY_ID,PARNT_ACCT_KEY,PARNT_ACCT_ID,PARNT_ACCT_NUM,CHILD_ACCT_KEY,CHILD_ACCT_ID,CHILD_ACCT_NUM,VEH_KEY,DVC_KEY,dvc_id,EQMNT_KEY,EQMNT_ID,PLAN_KEY,PLAN_ID,OFR_ID,FROM_PLAN_KEY,FROM_PLAN_ID,FROM_OFR_ID,PROD_KEY,PROD_ID,FROM_PROD_KEY,FROM_PROD_ID,PKG_ID,FROM_PKG_ID,FEAT_ID,AGN_KEY,cust_rep_id,PTNR_ID,LNKD_INET_FL,MRD_TYPE_CD,SBSCR_LIFCYC_KEY,CONV_REP_OWN_SEGMT_KEY,OWNR_TYPE2_KEY,DEACTIVATION_REASON_CODE,TRIAL_ID,SRVC_ID,RENW_ID,FROM_RENW_ID,COLL_SCNRO_ID,SRVC_LVL_PMT_KEY,NONPAY_SRVC_KEY,BILLING_METHOD,FROM_BILLING_METHOD,SLFPAY_TURNOVER_RSN,SLFPAY_TURNOVER_DT,FUTURE_DEACTVN_DT,SCHD_SEASONAL_SUSP_REACTVN_DT,Call_Reason,Call_Disposition,INSE_USER_ID,INSE_TS,UPDT_USER_ID,UPDT_TS,Save_Activity,Deact_Activity_By_Save_Agent,Conversion_Activity_By_Save_Agent,Save_Opportunity_Activity
12,436000000000.0,12,?,2019-02-01 00:00:00,?,5000000000000.0,576866980.0,5000000000000.0,12,23236,1-24208430978,614225257,436000000000.0,4.36E+11,148582,953224503,77360,1432,506.2,9086,12.0,2532,8658,3.05E+11,1598,7397,25368046868,7146,25368043159,SIR_DATA_TRVLLNK_TRAF_SE,SIR_DATA_TRVLLNK_TRAF_SE,8,12,3176RPH,12170,Y,Single,14137115694,-2,95,0,243256709,436000000000.0,1655655658,1520884114,?,?,-2,Credit Card,Credit Card,Not Applicable,?,?,?,12,?,up_edwetl_TLD,2019-04-17 13:39:00,up_edwetl_TLD,2019-04-17 13:39:00,0,0,1,1
13,-1.0,13,?,2010-11-12 00:00:00,11/12/10 0:00,5000000000000.0,26707896.0,5000000000000.0,13,1929,1-113722835,1419491,62002794.0,1-113722835,-1,189597839,106703,4530,3604.2,-1,13.0,5469,1557,9000034043,-1,5616,9000024906,5616,9000024906,SIR_AUD_EVT,SIR_AUD_EVT,8,13,15355C,12162,U,Single,579660583,-2,95,?,102157269,3503303357.0,918323486,918323485,?,?,?,Credit Card,Credit Card,?,?,?,?,13,?,UP_EDWDBA,2010-11-12 00:00:00,UP_EDWDBA,2010-11-12 00:00:00,0,0,0,0
14,11552164756.0,14,?,2017-10-10 00:00:00,10/10/17 0:00,5000000000000.0,217480177.0,5000000000000.0,14,12453,1-5815119056,459957200,3285382275.0,1-5815119056,50005,679729857,64656,2697,1771.2,7813,14.0,2647,7813,25368044749,2647,12008,25368047042,12008,25368047042,SIR_AUD_EVT,SIR_AUD_EVT,8,14,Not Applicable,12158,N,Single,9074469195,-2,95,0,-2,3285531280.0,992945494,992945493,4.37E+11,?,57563937,Invoice,Invoice,Not Applicable,?,11/7/17,?,14,?,UP_EDWDBA,2019-01-19 22:28:00,UP_EDWDBA,2018-07-27 12:39:00,0,0,0,0
15,414000000000.0,15,?,2017-02-02 00:00:00,2/2/17 0:00,5000000000000.0,58942279.0,5000000000000.0,15,47114,4.02E+11,176855682,414000000000.0,4.14E+11,60946,199845007,52658,3124,2198.2,4235,15.0,2628,3930,3.11E+11,2223,10553,410000000000,10811,3.11E+11,SIR_AUD_EVT,SIR_AUD_EVT,8,15,2598RV,12162,Y,Multi ,4342744521,-2,95,?,63522021,414000000000.0,711337134,711337132,?,?,?,Credit Card,Credit Card,?,?,?,?,15,?,UP_EDWDBA,2017-02-02 00:00:00,UP_EDWDBA,2017-02-02 00:00:00,0,0,0,0
16,405000000000.0,16,?,2020-01-01 00:00:00,1/1/20 0:00,5000000000000.0,3455875397.0,5000000000000.0,16,34467,1.14E+11,695828502,405000000000.0,4.05E+11,43521,210264796,85395,3938,3012.2,7845,16.0,2635,9898,4.37E+11,2243,13938,25368047320,13264,4.37E+11,SIR_AUD_EVT,SIR_AUD_EVT,8,16,root.0.0.0.1,12162,Y,Single,16881218991,-2,95,?,86991944,405000000000.0,2012434986,1971774447,?,?,?,Credit Card,Credit Card,?,?,?,?,16,?,UP_EDWDBA,2020-01-01 00:00:00,UP_EDWDBA,2020-01-01 00:00:00,0,0,0,0
17,453000000000.0,17,?,2019-06-12 00:00:00,6/12/19 0:00,5000000000000.0,707549047.0,5000000000000.0,17,99946,4.53E+11,736366540,453000000000.0,4.53E+11,36892,885646490,39452,1789,863.2,8864,17.0,1604,8864,3.11E+11,1604,7146,25368043159,7146,25368043159,SIR_AUD_ALLACCESS,SIR_AUD_ALLACCESS,8,17,OEMManager,1978,Y,Single,15281164476,-1,6,0,312125317,453000000000.0,1730441716,1730441716,?,?,?,Pre Paid,Pre Paid,Not Applicable,?,?,?,17,?,UP_EDWDBA,2019-10-11 17:34:00,UP_EDWDBA,2019-10-11 17:34:00,0,0,0,0
18,-1.0,18,20009,2018-06-26 00:00:00,6/26/18 0:00,5000000000000.0,361660132.0,5000000000000.0,18,28084,1.07E+11,77923117,113000000000.0,1.13E+11,31529,449158101,13469,786,-141.1,8872,18.0,2231,8873,3.11E+11,2223,10811,311000000000,10811,3.11E+11,SIR_AUD_EVT,SIR_AUD_EVT,8,18,3709AB,1978,N,Single,11564110998,-2,95,?,31696238,113000000000.0,1388331476,391335447,?,?,?,Credit Card,Credit Card,?,?,?,?,18,Save - 12 months for $99,up_edwetl_TLD,2018-06-26 00:00:00,up_edwetl_TLD,2018-06-26 00:00:00,1,0,0,1
19,429000000000.0,19,?,2019-08-21 00:00:00,8/21/19 0:00,5000000000000.0,5000000000000.0,5000000000000.0,19,32845,1.12E+11,702173499,429000000000.0,4.29E+11,120970,1067532286,48981,5363,4240.2,9178,19.0,2628,-2,-2,-2,12157,410000000000,-2,-2,SIR_AUD_EVT,Unknown,8,19,web1,1978,Y,-1,15943584737,-2,95,222,210116436,429000000000.0,1680081510,1328133871,?,-2,-1,Credit Card,?,?,?,?,?,19,?,UP_EDWETL_TLD,2019-08-21 00:00:00,up_Edwetl_TLD,2019-08-21 00:00:00,0,0,0,0
20,460000000000.0,20,?,2019-12-05 00:00:00,12/5/19 0:00,5000000000000.0,3552500361.0,5000000000000.0,20,105972,4.60E+11,825649661,460000000000.0,4.60E+11,162017,973340003,77064,5389,4266.2,7845,20.0,11426,?,?,?,13938,25368047320,?,?,SIR_AUD_EVT,?,8,20,1586AQIB,11771,Y,Single,16714404449,-2,95,?,281439947,460000000000.0,1978466363,?,?,?,?,Credit Card,?,?,?,?,?,20,?,UP_EDWDBA,2019-12-05 00:00:00,UP_EDWDBA,2019-12-05 00:00:00,0,0,0,0
21,429000000000.0,21,?,2019-08-22 00:00:00,8/22/19 0:00,5000000000000.0,570539145.0,5000000000000.0,21,69784,4.29E+11,771974091,429000000000.0,4.29E+11,120967,820123112,78259,5363,4240.2,7813,21.0,2647,7813,25368044749,2647,12008,25368047042,12008,25368047042,SIR_AUD_EVT,SIR_AUD_EVT,8,21,641RLPC,1978,Y,Single,15790792069,-2,95,0,-2,429000000000.0,1810897888,1714460680,4.56E+11,?,87916822,Invoice,Invoice,Not Applicable,?,?,?,21,?,UP_EDWETL_TLD,2019-08-23 08:16:00,UP_EDWETL_TLD,2019-08-23 03:31:00,0,0,0,0
22,411000000000.0,22,?,2019-04-20 00:00:00,4/20/19 0:00,5000000000000.0,623122530.0,5000000000000.0,22,55057,4.11E+11,686545887,411000000000.0,4.11E+11,50504,762476538,23365,425,-502.1,7941,22.0,2651,7941,25368045261,2651,11983,25368046820,11983,25368046820,SIR_DATA_TRVLLNK_TRAF_SE,SIR_DATA_TRVLLNK_TRAF_SE,8,22,Not Applicable,8457,Y,Single,14922637414,-2,95,0,-2,411000000000.0,1666069176,1514104497,4.52E+11,?,82419619,Invoice,Invoice,Not Applicable,?,5/18/19,?,22,?,UP_EDWETL_TLD,2019-04-21 08:14:00,UP_EDWETL_TLD,2019-04-21 03:31:00,0,0,0,0
23,432000000000.0,23,?,2018-09-20 00:00:00,9/20/18 0:00,5000000000000.0,519614587.0,5000000000000.0,23,72737,4.32E+11,591897811,432000000000.0,4.32E+11,-1,-1,78744,-1,-1.0,9956,23.0,1964,8657,3.05E+11,2821,12901,440000000000,10024,3.05E+11,SIR_AUD_ALLACCESS,SIR_AUD_ALLACCESS,7,23,1304DAJOB,901,Y,Linked,12498785665,-2,95,0,221384728,432000000000.0,1654438440,992100129,?,?,-2,Credit Card,Credit Card,Not Applicable,?,?,?,23,?,UP_EDWDBA,2019-10-04 16:54:00,UP_EDWDBA,2019-10-04 16:54:00,0,0,0,0
24,-1.0,24,?,2015-11-15 00:00:00,11/15/15 0:00,5000000000000.0,42846722.0,5000000000000.0,24,7674,1-2216768718,176196898,1292129408.0,1-2216768718,-1,85961208,45689,1144,218.2,555,24.0,9203,555,9000031575,9203,5534,9000024281,5534,9000024281,SIR_AUD_EVT,SIR_AUD_EVT,8,24,root.0.0.0.1,12236,N,Multi ,993271243,-2,95,17,58277732,4634559346.0,660407036,660407035,?,?,?,Credit Card,Credit Card,?,?,?,?,24,?,UP_EDWDBA,2015-11-15 00:00:00,UP_EDWDBA,2015-11-15 00:00:00,0,0,0,0
25,449000000000.0,25,?,2019-01-26 00:00:00,1/26/19 0:00,5000000000000.0,666640478.0,5000000000000.0,25,93550,4.49E+11,647619750,449000000000.0,4.49E+11,-1,-1,75004,-1,-1.0,8864,25.0,1604,8864,3.11E+11,1604,10023,305000000000,10023,3.05E+11,SIR_AUD_ALLACCESS,SIR_AUD_ALLACCESS,7,25,OEMManager,901,Y,Linked,14099835846,-1,95,0,295646163,449000000000.0,1597033184,1597033184,?,?,?,Pre Paid,Pre Paid,Not Applicable,?,?,?,25,?,UP_EDWDBA,2019-10-11 17:34:00,UP_EDWDBA,2019-10-11 17:34:00,0,0,0,0
26,448000000000.0,26,?,2019-05-30 00:00:00,5/30/19 0:00,5000000000000.0,704183022.0,5000000000000.0,26,91383,4.48E+11,729249814,448000000000.0,4.48E+11,172386,1017739477,75671,5365,4242.2,8658,26.0,1598,8658,3.05E+11,1598,7146,25368043159,7146,25368043159,SIR_AUD_ALLACCESS,SIR_AUD_ALLACCESS,8,26,OEMManager,12162,Y,Single,15170685560,-1,95,0,290073108,448000000000.0,1716705285,1716705285,?,?,?,Pre Paid,Pre Paid,Not Applicable,?,?,?,26,?,UP_EDWDBA,2019-10-11 17:34:00,UP_EDWDBA,2019-10-11 17:34:00,0,0,0,0
27,437000000000.0,27,?,2020-01-14 00:00:00,?,5000000000000.0,3625623203.0,5000000000000.0,27,78128,4.37E+11,836004987,437000000000.0,4.37E+11,148084,990194333,29035,830,-97.1,10558,27.0,11354,9738,4.33E+11,2827,13746,458000000000,11434,4.33E+11,SIR_DATA_TRVLLNK_TRAF_SE,SIR_DATA_TRVLLNK_TRAF_SE,8,27,CUWI,1978,Y,Single,16986000623,-2,95,0,244594259,437000000000.0,2029393380,1590084399,?,?,-2,Credit Card,Credit Card,Not Applicable,?,?,?,27,?,up_edwetl_TLD,2020-01-15 08:38:00,up_edwetl_TLD,2020-01-15 08:38:00,0,0,0,0
28,421000000000.0,28,?,2016-07-06 00:00:00,7/6/16 0:00,5000000000000.0,131914894.0,5000000000000.0,28,48305,4.03E+11,233899759,403000000000.0,4.03E+11,39587,-1,71719,-1,-1.0,4035,28.0,250,?,?,?,7264,25368043411,?,?,SIR_AUD_ALLACCESS,?,7,28,2036AB,12162,Y,Linked,2423270383,-2,95,?,76599798,421000000000.0,1038924857,?,?,?,?,Credit Card,?,?,?,?,?,28,?,UP_EDWDBA,2016-07-06 00:00:00,UP_EDWDBA,2016-07-06 00:00:00,0,0,0,0
29,461000000000.0,29,20217,2019-12-25 00:00:00,12/25/19 0:00,5000000000000.0,3558580876.0,5000000000000.0,29,51862,4.07E+11,834396960,407000000000.0,4.07E+11,97698,961644655,67438,3916,2990.2,9915,29.0,2206,?,?,?,13094,438000000000,?,?,SIR_DATA_TRVLLNK_TRAF_SE,?,8,29,1878RLPSS,1978,Y,Single,16850133045,-2,95,?,73781201,461000000000.0,2003953942,?,?,?,?,Credit Card,?,?,?,?,?,29,Save - Select Lite - 12mo for $60,up_edwetl_TLD,2019-12-25 00:00:00,up_edwetl_TLD,2019-12-25 00:00:00,1,0,0,1
30,-1.0,30,?,2016-06-13 00:00:00,6/13/16 0:00,5000000000000.0,148388007.0,5000000000000.0,30,63989,4.22E+11,221627873,422000000000.0,4.22E+11,-1,254815183,102548,1236,310.2,2742,30.0,2637,?,?,?,7527,25368047320,?,?,SIR_AUD_EVT,?,8,30,web1,12295,N,Single,2277462433,-2,95,?,191681593,425000000000.0,1253700989,?,?,?,?,Credit Card,?,?,?,?,?,30,?,UP_EDWDBA,2016-06-13 00:00:00,UP_EDWDBA,2016-06-13 00:00:00,0,0,0,0
31,451000000000.0,31,?,2019-06-26 00:00:00,6/26/19 0:00,5000000000000.0,711083611.0,5000000000000.0,31,96554,4.51E+11,741968236,451000000000.0,4.51E+11,-1,-1,83349,-1,-1.0,9643,31.0,2127,8864,3.11E+11,1604,13341,427000000000,10023,3.05E+11,SIR_AUD_ALLACCESS,SIR_AUD_ALLACCESS,7,31,CUWI,901,Y,Linked,15489024435,-2,284,0,303056798,451000000000.0,1754713394,1657264321,?,?,-2,Credit Card,Credit Card,Not Applicable,?,?,?,31,?,UP_EDWDBA,2019-10-04 16:54:00,UP_EDWDBA,2019-10-04 16:54:00,0,0,0,0
32,421000000000.0,32,?,2016-06-04 00:00:00,6/4/16 0:00,5000000000000.0,157348770.0,5000000000000.0,32,35108,1.14E+11,199754980,421000000000.0,4.21E+11,16553,227620770,7486,20,-907.1,6975,32.0,1437,3921,3.11E+11,1437,10651,410000000000,7146,25368043159,SIR_AUD_EVT,SIR_AUD_ALLACCESS,8,32,INV Lockbox,1978,Y,SINGLE,2145907407,-2,7,0,-2,421000000000.0,348285322,348285322,4.25E+11,?,34887744,Invoice,Invoice,Not Applicable,?,?,?,32,?,UP_EDWDBA,2019-01-19 22:53:00,UP_EDWDBA,2019-03-25 22:09:00,0,0,0,0
33,-1.0,33,?,2017-07-17 00:00:00,7/17/17 0:00,5000000000000.0,282952439.0,5000000000000.0,33,75917,4.34E+11,419239983,434000000000.0,4.34E+11,68238,466511183,24151,761,-166.1,9523,33.0,2554,?,?,?,7489,25368047188,?,?,SIR_AUD_EVT,?,8,33,CUWI,8457,N,Single,7920724470,-2,95,?,47349500,434000000000.0,486980388,?,?,?,?,Credit Card,?,?,?,?,?,33,?,UP_EDWDBA,2017-07-17 00:00:00,UP_EDWDBA,2017-07-17 00:00:00,0,0,0,0
34,436000000000.0,34,?,2018-06-15 00:00:00,6/15/18 0:00,5000000000000.0,471078847.0,5000000000000.0,34,77906,4.36E+11,553065860,436000000000.0,4.36E+11,137498,815178227,77684,5362,4239.2,9088,34.0,2552,9088,4.09E+11,1598,7489,25368047188,7489,25368047188,SIR_AUD_EVT_SXM,SIR_AUD_EVT_SXM,8,34,3446DIN,10673,Y,Single,11410842026,-2,95,0,243976895,436000000000.0,-1,-2,?,?,-2,Credit Card,Credit Card,Not Applicable,?,?,?,34,?,up_edwetl_TLD,2019-01-19 21:20:00,up_edwetl_TLD,2019-01-19 21:20:00,0,0,0,0
35,434000000000.0,35,?,2018-05-26 00:00:00,5/26/18 0:00,5000000000000.0,364691102.0,5000000000000.0,35,75349,4.34E+11,545835247,434000000000.0,4.34E+11,148220,759553817,71669,5363,4240.2,9738,35.0,2827,9738,4.33E+11,2827,11434,433000000000,11434,4.33E+11,SIR_AUD_ALLACCESS,SIR_AUD_ALLACCESS,8,35,OEMManager,1978,Y,Single,11234856225,-1,95,0,232401971,434000000000.0,1342463711,1342463711,?,?,?,Pre Paid,Pre Paid,Not Applicable,?,?,?,35,?,UP_EDWDBA,2019-10-11 17:34:00,UP_EDWDBA,2019-10-11 17:34:00,0,0,0,0
36,449000000000.0,36,?,2019-01-29 00:00:00,1/29/19 0:00,5000000000000.0,667141650.0,5000000000000.0,36,93640,4.49E+11,648525567,449000000000.0,4.49E+11,-1,-1,100447,-1,-1.0,8864,36.0,1604,8864,3.11E+11,1604,10023,305000000000,10023,3.05E+11,SIR_AUD_ALLACCESS,SIR_AUD_ALLACCESS,7,36,web1,901,Y,Linked,14119273855,-1,95,0,295976178,449000000000.0,1599170061,1599170061,?,?,?,Pre Paid,Pre Paid,Not Applicable,?,?,?,36,?,UP_EDWDBA,2019-10-11 17:34:00,UP_EDWDBA,2019-10-11 17:34:00,0,0,0,0
37,438000000000.0,37,?,2020-01-12 00:00:00,1/12/20 0:00,5000000000000.0,3433776196.0,5000000000000.0,37,48632,4.04E+11,839671977,404000000000.0,4.04E+11,43919,93423127,49102,2356,1430.2,10082,37.0,2200,10082,4.46E+11,2200,13114,446000000000,13114,4.46E+11,SIR_AUD_EVT,SIR_AUD_EVT,8,37,CUWI,12177,Y,Single,16831187520,-2,95,0,-2,438000000000.0,2001291198,2001291198,4.61E+11,?,95051036,Invoice,Invoice,Not Applicable,?,?,?,37,?,UP_EDWETL_TLD,2020-01-13 08:29:00,UP_EDWETL_TLD,2020-01-13 03:31:00,0,0,0,0
38,312000000000.0,38,?,2015-05-05 00:00:00,?,5000000000000.0,30278286.0,5000000000000.0,38,46362,3.12E+11,120035995,312000000000.0,3.12E+11,41047,51497813,19571,412,-515.1,4141,38.0,2558,8657,3.05E+11,2821,7489,25368047188,10026,3.05E+11,SIR_AUD_EVT,SIR_AUD_EVT,8,38,625SN,1978,Y,Single,211814192,-2,95,0,40919782,312000000000.0,441742610,193990488,?,?,-2,Credit Card,Credit Card,Not Applicable,?,?,?,38,?,up_edwetl_TLD,2019-01-22 18:37:00,up_edwetl_TLD,2019-01-22 18:37:00,0,0,0,0
39,429000000000.0,39,?,2019-09-19 00:00:00,9/19/19 0:00,5000000000000.0,2580155149.0,5000000000000.0,39,15768,1-10594157069,702245354,429000000000.0,4.29E+11,129562,338827046,106529,5042,4110.2,9120,39.0,1815,8342,25368046873,1576,12157,410000000000,11883,25368042973,SIR_AUD_EVT,SIR_AUD_EVT,8,39,root.0.0.0.1,12162,Y,Single,16156924390,-2,95,?,211248226,429000000000.0,1875410825,1727684613,?,?,?,Credit Card,Credit Card,?,?,?,?,39,?,UP_EDWDBA,2019-09-19 00:00:00,UP_EDWDBA,2019-09-19 00:00:00,0,0,0,0
40,451000000000.0,40,?,2019-09-25 00:00:00,9/25/19 0:00,5000000000000.0,3370639311.0,5000000000000.0,40,96840,4.51E+11,790689535,451000000000.0,4.51E+11,161863,1055038991,87136,5355,4232.2,10374,40.0,11126,10374,4.53E+11,11126,13393,453000000000,13393,4.53E+11,SIR_DATA_TRAFF_PLUS_TRVLLNK_SEXM,SIR_DATA_TRAFF_PLUS_TRVLLNK_SEXM,6,40,OEMManager,1978,Y,Single,16200420308,-1,95,0,303730195,451000000000.0,1882914205,1882914205,?,?,?,Pre Paid,Pre Paid,Not Applicable,?,?,?,40,?,UP_EDWDBA,2019-10-11 17:34:00,UP_EDWDBA,2019-10-11 17:34:00,0,0,0,0
